😀 grinning face	happy smile cheerful
😃 grinning face with big eyes	happy smile excited
😄 grinning face with smiling eyes	happy cheerful glad
😁 beaming face with smiling eyes	happy grin proud
😆 grinning squinting face	lol haha xd laughing
😅 grinning face with sweat	nervous relief phew awkward
🤣 rolling on the floor laughing	rofl lmao lol dying
😂 face with tears of joy	lol lmao crying laughing haha
🙂 slightly smiling face	okay fine subtle passive
🙃 upside-down face	sarcasm silly goofy ironic
🫠 melting face	hot dying overwhelmed dissolve
😉 winking face	flirt wink nudge
😊 smiling face with smiling eyes	blush happy sweet shy
😇 smiling face with halo	angel innocent good holy
🥰 smiling face with hearts	love adore affection crush
😍 smiling face with heart-eyes	love crush omg obsessed simp
🤩 star-struck	wow amazing starstruck celebrity fan
😘 face blowing a kiss	love kiss mwah flirt smooch
😗 kissing face	kiss smooch mwah pucker
☺️ smiling face	happy pleased content
😚 kissing face with closed eyes	kiss smooch mwah
😙 kissing face with smiling eyes	kiss smooch sweet
🥲 smiling face with tear	grateful bittersweet touched emotional
😋 face savoring food	yum delicious tasty mmm nom
😛 face with tongue	silly playful bleh goofy
😜 winking face with tongue	silly playful goofy tease
🤪 zany face	crazy wild goofy silly weird wacky
😝 squinting face with tongue	silly playful gross bleh
🤑 money-mouth face	rich cash money paid cha-ching
🤗 smiling face with open hands	hug warm welcome friendly
🤭 face with hand over mouth	oops giggle tee-hee snicker secret
🫢 face with open eyes and hand over mouth	shocked oops gasp surprise
🫣 face with peeking eye	peek scared nervous shy hiding
🤫 shushing face	quiet shh secret hush silent
🤔 thinking face	hmm wonder consider ponder sus think
🫡 saluting face	salute respect sir aye roger
🤐 zipper-mouth face	secret quiet shut-up sealed lips mum
🤨 face with raised eyebrow	sus suspicious doubt skeptical really hmm
😐 neutral face	meh blank poker deadpan unimpressed
😑 expressionless face	meh annoyed blank bored done
😶 face without mouth	speechless silent no-words mute blank
🫥 dotted line face	invisible hidden transparent ghost
